Query R101: AP=0.7674, P@10=0.5000, DCG@10=3.4643
Query R102: AP=0.5916, P@10=0.7000, DCG@10=3.5973
Query R103: AP=0.1891, P@10=0.1000, DCG@10=0.3562
Query R104: AP=0.7154, P@10=0.7000, DCG@10=3.5650
Query R105: AP=0.8062, P@10=0.8000, DCG@10=4.6380
Query R106: AP=0.3730, P@10=0.1000, DCG@10=1.0000
Query R107: AP=0.0756, P@10=0.0000, DCG@10=0.0000
Query R108: AP=0.0808, P@10=0.0000, DCG@10=0.0000
Query R109: AP=0.6183, P@10=0.7000, DCG@10=4.1666
Query R110: AP=0.0777, P@10=0.0000, DCG@10=0.0000
Query R111: AP=1.0000, P@10=0.3000, DCG@10=2.6309
Query R112: AP=0.5623, P@10=0.4000, DCG@10=2.5616
Query R113: AP=0.4258, P@10=0.3000, DCG@10=2.4307
Query R114: AP=0.7600, P@10=0.4000, DCG@10=2.9307
Query R115: AP=0.7051, P@10=0.2000, DCG@10=2.0000
Query R116: AP=0.4280, P@10=0.3000, DCG@10=2.6309
Query R117: AP=0.3769, P@10=0.2000, DCG@10=1.4307
Query R118: AP=0.4201, P@10=0.2000, DCG@10=1.6309
Query R119: AP=0.2032, P@10=0.1000, DCG@10=0.3869
Query R120: AP=0.5037, P@10=0.3000, DCG@10=2.5000
Query R121: AP=0.1397, P@10=0.0000, DCG@10=0.0000
Query R122: AP=0.4947, P@10=0.4000, DCG@10=3.1309
Query R123: AP=0.0660, P@10=0.0000, DCG@10=0.0000
Query R124: AP=0.2281, P@10=0.2000, DCG@10=1.3333
Query R125: AP=0.6180, P@10=0.4000, DCG@10=3.0616
Query R126: AP=0.9574, P@10=1.0000, DCG@10=5.2545
Query R127: AP=0.2036, P@10=0.2000, DCG@10=0.8175
Query R128: AP=0.3201, P@10=0.1000, DCG@10=1.0000
Query R129: AP=0.4145, P@10=0.3000, DCG@10=2.5000
Query R130: AP=0.1801, P@10=0.1000, DCG@10=0.3562
Query R131: AP=0.3674, P@10=0.2000, DCG@10=1.6309
Query R132: AP=0.2167, P@10=0.1000, DCG@10=1.0000
Query R133: AP=0.1767, P@10=0.1000, DCG@10=0.6309
Query R134: AP=0.2498, P@10=0.1000, DCG@10=1.0000
Query R135: AP=0.6632, P@10=0.6000, DCG@10=3.5795
Query R136: AP=0.4041, P@10=0.2000, DCG@10=2.0000
Query R137: AP=0.2412, P@10=0.1000, DCG@10=1.0000
Query R138: AP=0.3646, P@10=0.2000, DCG@10=2.0000
Query R139: AP=0.6032, P@10=0.2000, DCG@10=1.6309
Query R140: AP=0.1457, P@10=0.1000, DCG@10=0.3010
Query R141: AP=0.4893, P@10=0.6000, DCG@10=3.6509
Query R142: AP=0.2270, P@10=0.1000, DCG@10=1.0000
Query R143: AP=0.0641, P@10=0.0000, DCG@10=0.0000
Query R144: AP=0.1399, P@10=0.0000, DCG@10=0.0000
Query R145: AP=0.0603, P@10=0.0000, DCG@10=0.0000
Query R146: AP=0.3414, P@10=0.1000, DCG@10=1.0000
Query R147: AP=0.2097, P@10=0.1000, DCG@10=1.0000
Query R148: AP=0.2838, P@10=0.0000, DCG@10=0.0000
Query R149: AP=0.1656, P@10=0.1000, DCG@10=0.4307
Query R150: AP=0.3951, P@10=0.2000, DCG@10=1.5000

--- Overall Evaluation Results (B_Model3) ---
Mean Average Precision (MAP): 0.3822
Average Precision@10 (P@10): 0.2420
Average Discounted Cumulative Gain@10 (DCG@10): 1.6546
