13264 -16.598184
6163 -16.606746
38920 -16.958830
72320 -17.023703
71167 -17.179201
53296 -17.181961
38356 -17.346912
78595 -17.383630
42439 -17.407338
75434 -17.468412
16827 -17.516477
85147 -17.697105
6304 -17.753265
41791 -17.764473
18552 -17.869062
23408 -17.869062
30597 -17.943021
27404 -17.993890
28185 -18.065454
59210 -18.119266
60008 -18.174049
25590 -18.296083
26495 -18.349296
86950 -18.364058
58418 -18.385720
54109 -18.399180
15458 -18.411856
69330 -18.466420
21659 -18.470563
25645 -18.470563
53133 -18.517245
83809 -18.523691
13285 -18.523894
19408 -18.530996
83813 -18.534021
19413 -18.536514
83804 -18.537361
3595 -18.542043
82926 -18.569041
83267 -18.581692
14956 -18.594219
64271 -18.610194
79578 -18.617237
75429 -18.619290
29675 -18.621327
76397 -18.654962
61409 -18.678640
79565 -18.688101
3601 -18.694359
39858 -18.696656
82908 -18.697413
72796 -18.699254
69331 -18.707399
75433 -18.711941
75431 -18.726312
78584 -18.743363
76441 -18.796157
68777 -18.808094
68775 -18.808094
85987 -18.808918
8052 -18.839971
46387 -18.847783
80283 -18.864788
82164 -18.865850
83264 -18.876368
4839 -18.876388
82163 -18.899499
75435 -18.916854
60334 -18.929744
12741 -18.952065
78574 -18.954781
78572 -18.955230
82907 -18.988529
22546 -19.016496
53185 -19.027751
56638 -19.060102
9456 -19.089164
80280 -19.090921
22541 -19.119789
78580 -19.121779
4046 -19.130519
32982 -19.184568
81474 -19.234758
79552 -19.485480
7486 -19.485480
82190 -19.485480
78577 -19.485480
54671 -19.485480
78582 -19.485480
26529 -19.485480
42441 -19.485480
